PATH	DURATION	TRANSCRIPT
/data/vlsp2019/25hours/wavs/0/0/00000.wav	5.201269841269841	hiện nay vị trí của bàn thờ thường được đặt trong phòng riêng ở tầng trên cùng của nhà
/data/vlsp2019/25hours/wavs/0/0/00001.wav	3.1579138321995464	để cậu nhỏ hướng lên hay hướng xuống khi mặc quần lót
/data/vlsp2019/25hours/wavs/0/0/00002.wav	5.38702947845805	cả phố thắp đèn lồng lung linh và cảm giác ở nơi đây rất yên bình và con người cũng niềm nở nữa
/data/vlsp2019/25hours/wavs/0/0/00003.wav	6.6873469387755105	đây là mức chi phí có lí nhất dựa trên kỹ thuật ứng dụng tiên tiến mang đến sự ưng ý tuyệt đối cho trường hợp
/data/vlsp2019/25hours/wavs/0/0/00004.wav	5.479909297052155	ca sĩ thái thùy linh chia sẻ con chị không mắc chứng tự kỷ trong gia đình cũng không có người tự kỷ
/data/vlsp2019/25hours/wavs/0/0/00005.wav	3.7151927437641725	trong quá trình cháu làm chị hãy động viên khích lệ khen ngợi nhiều hơn
/data/vlsp2019/25hours/wavs/0/0/00006.wav	6.222947845804988	tránh ăn một số loại món ăn chiên rán hay nướng vì chúng có thể kích thích cổ họng khiến tình trạng viêm nhiễm đau rát thêm nặng
/data/vlsp2019/25hours/wavs/0/0/00007.wav	5.201269841269841	các vùng cấm bay và vùng cấm tàu thuyền qua lại cũng sẽ được thiết lập trong thời gian diễn ra hội nghị
/data/vlsp2019/25hours/wavs/0/0/00008.wav	4.829750566893424	và thậm chí cơ quan điều tra chính thức phát lệnh triệu tập với siêu sao người bồ
/data/vlsp2019/25hours/wavs/0/0/00009.wav	7.058866213151927	nếu đảm bảo được những điều trên thì tình trạng suy giảm trí nhớ của bạn sẽ giảm đi rõ rệt và đề phòng cả bệnh trầm cảm sau khi sinh
/data/vlsp2019/25hours/wavs/0/0/00010.wav	5.108390022675737	luôn luôn bắt đầu với kem dưỡng ẩm và kem lót để tạo sự mềm mịn trước khi đánh kem nền
/data/vlsp2019/25hours/wavs/0/0/00011.wav	7.430385487528345	phòng khám phụ khoa dùng hệ thống đồ đạc y tế hiện đại được nhập khẩu từ nước ngoài đặc biệt là các trang thiết bị liên quan tới bệnh phụ nữ
/data/vlsp2019/25hours/wavs/0/0/00012.wav	9.009342403628118	thấy cặp vợ chồng mới cưới đang thân mật bà đập cửa phi vào và không ngừng la mắng bắt minh vân không được cưỡi lên người việt thanh nữa
/data/vlsp2019/25hours/wavs/0/0/00013.wav	7.058866213151927	bí quyết chọn lựa đèn chùm trang trí tại nghệ an diễn đàn rao vặt và quảng cáo miễn phí hiệu quả nhất
/data/vlsp2019/25hours/wavs/0/0/00014.wav	7.151746031746032	đã phải đối mặt với những trò hề hài hước khi thi nhau giành lấy tình cảm từ những chú chó con
